site,date,time,lcp,fcp,ttfb,tbt,error
"http://localhost:8080/","2024-11-26","17:15:34","12423.89999999851","1174.1999999955297","161.89999999850988","71",""
"http://localhost:8080/","2024-11-26","17:15:52","12362.10000000149","1099.1999999955297","162.39999999850988","59",""
"http://localhost:8080/","2024-11-26","17:16:10","12378.20000000298","1122.3000000044703","163","71",""
"http://localhost:8080/","2024-11-26","17:16:29","12368.5","1124.4000000059605","161.5","78",""
"http://localhost:8080/","2024-11-26","17:16:47","12378.5","1118.6000000014901","162.19999999552965","71",""
"http://localhost:8080/","2024-11-26","17:17:05","12366.09999999404","1125.5","161.59999999403954","61",""
"http://localhost:8080/","2024-11-26","17:17:23","12385.29999999702","1114.8999999985099","162.59999999403954","57",""
"http://localhost:8080/","2024-11-26","17:17:41","12343.39999999851","1110.6000000014901","161.89999999850988","63",""
"http://localhost:8080/","2024-11-26","17:17:59","12369.79999999702","1115.2999999970198","162.20000000298023","60",""
"http://localhost:8080/","2024-11-26","17:18:17","12368.70000000298","1117.2999999970198","163.10000000149012","65",""
"http://localhost:8080/","2024-11-26","17:18:35","12347.09999999404","1111.7999999970198","154.5","61",""
"http://localhost:8080/","2024-11-26","17:18:53","12338","1108.7000000029802","162","57",""
"http://localhost:8080/","2024-11-26","17:19:11","12339.29999999702","1125.7999999970198","162.20000000298023","58",""
"http://localhost:8080/","2024-11-26","17:19:29","12353.69999999553","1116.5999999940395","162.79999999701977","57",""
"http://localhost:8080/","2024-11-26","17:19:48","12536.80000000447","1127.5","162.5","60",""
"http://localhost:8080/","2024-11-26","17:20:06","12340.80000000447","1111.2000000029802","162.30000000447035","60",""
"http://localhost:8080/","2024-11-26","17:20:24","12352.60000000149","1109.2000000029802","162.80000000447035","59",""
"http://localhost:8080/","2024-11-26","17:20:42","12385.79999999702","1116.5999999940395","163.19999999552965","57",""
"http://localhost:8080/","2024-11-26","17:21:00","12355.69999999553","1124.1000000014901","163.5","55",""
"http://localhost:8080/","2024-11-26","17:21:18","12384.19999999553","1118.3999999985099","162.59999999403954","56",""
"http://localhost:8080/","2024-11-26","17:21:36","12377.10000000149","1119","163.20000000298023","56",""
"http://localhost:8080/","2024-11-26","17:21:54","12362","1117","161.39999999850988","59",""
"http://localhost:8080/","2024-11-26","17:22:13","12363.5","1128.2000000029802","163.40000000596046","60",""
"http://localhost:8080/","2024-11-26","17:22:31","12360.79999999702","1117.0999999940395","162.09999999403954","60",""
"http://localhost:8080/","2024-11-26","17:22:49","12384","1110.7000000029802","163.60000000149012","58",""
"http://localhost:8080/","2024-11-26","17:23:07","12354.40000000596","1127","162.70000000298023","58",""
"http://localhost:8080/","2024-11-26","17:23:25","12356.70000000298","1126.2000000029802","162.30000000447035","60",""
"http://localhost:8080/","2024-11-26","17:23:43","12354.79999999702","1115.7999999970198","161.69999999552965","61",""
"http://localhost:8080/","2024-11-26","17:24:01","12377","1117.1000000014901","163.10000000149012","58",""
"http://localhost:8080/","2024-11-26","17:24:19","12357.70000000298","1129","163.39999999850988","62",""
"http://localhost:8080/","2024-11-26","17:24:37","12333.19999999553","1109.5","162.69999999552965","60",""
"http://localhost:8080/","2024-11-26","17:24:55","12361.40000000596","1117.8000000044703","162","57",""
"http://localhost:8080/","2024-11-26","17:25:13","12346.79999999702","1095.6999999955297","161.60000000149012","59",""
"http://localhost:8080/","2024-11-26","17:25:32","12376.89999999851","1102.1000000014901","162","56",""
"http://localhost:8080/","2024-11-26","17:25:50","12384.30000000447","1109.3000000044703","161.5","56",""
"http://localhost:8080/","2024-11-26","17:26:08","12387.89999999851","1134.1000000014901","170.20000000298023","60",""
"http://localhost:8080/","2024-11-26","17:26:26","12360.39999999851","1113.8999999985099","162.39999999850988","60",""
"http://localhost:8080/","2024-11-26","17:26:44","12438.5","1139.1000000014901","163.60000000149012","55",""
"http://localhost:8080/","2024-11-26","17:27:02","12369.70000000298","1128.7999999970198","162.29999999701977","59",""
"http://localhost:8080/","2024-11-26","17:27:20","12447.69999999553","1154.5","161.89999999850988","54",""
"http://localhost:8080/","2024-11-26","17:27:38","12399.39999999851","1129.1000000014901","161.89999999850988","55",""
"http://localhost:8080/","2024-11-26","17:27:57","12384","1123.6000000014901","162.80000000447035","58",""
"http://localhost:8080/","2024-11-26","17:28:15","12400.20000000298","1123.8000000044703","164.60000000149012","56",""
"http://localhost:8080/","2024-11-26","17:28:33","12386.59999999404","1115.5999999940395","161.59999999403954","65",""
"http://localhost:8080/","2024-11-26","17:28:51","12376.80000000447","1116.5","162.80000000447035","53",""
"http://localhost:8080/","2024-11-26","17:29:09","12353.10000000149","1099.7000000029802","162.30000000447035","57",""
"http://localhost:8080/","2024-11-26","17:29:27","12414.70000000298","1140","173.10000000149012","56",""
"http://localhost:8080/","2024-11-26","17:29:45","12384","1124.1000000014901","162","57",""
"http://localhost:8080/","2024-11-26","17:30:03","12346.39999999851","1136.6000000014901","169.29999999701977","58",""
"http://localhost:8080/","2024-11-26","17:30:21","12394","1121.8999999985099","169.20000000298023","57",""
