idx,site,date,time,type,start,end,duration,name,element,url,id
"19","http://localhost:8080/","2025-1-2","18:54:42","longTask","3506.89999999851","3592.89999999851","86","self","-1","-1","-1"
"20","http://localhost:8080/","2025-1-2","18:54:52","LCP","4359.79999999702","4374.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2025-1-2","18:54:52","longTask","3508.10000000149","3595.10000000149","87","self","-1","-1","-1"
"21","http://localhost:8080/","2025-1-2","18:55:01","LCP","4343.9000000059605","4372","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2025-1-2","18:55:01","longTask","3510.9000000059605","3597.9000000059605","87","self","-1","-1","-1"
"22","http://localhost:8080/","2025-1-2","18:55:10","LCP","4361.29999999702","4382.19999999553","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2025-1-2","18:55:10","longTask","3510.6999999955297","3597.6999999955297","87","self","-1","-1","-1"
"23","http://localhost:8080/","2025-1-2","18:55:19","LCP","4302.19999999553","4322.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2025-1-2","18:55:19","longTask","3495.2999999970198","3580.2999999970198","85","self","-1","-1","-1"
"24","http://localhost:8080/","2025-1-2","18:55:28","LCP","4352.70000000298","4368.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/","2025-1-2","18:55:28","longTask","3521.10000000149","3607.10000000149","86","self","-1","-1","-1"
"25","http://localhost:8080/","2025-1-2","18:55:37","LCP","4317","4337.29999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"25","http://localhost:8080/","2025-1-2","18:55:37","longTask","3506.60000000149","3591.60000000149","85","self","-1","-1","-1"
"26","http://localhost:8080/","2025-1-2","18:55:46","LCP","4325.5999999940395","4345.5","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"26","http://localhost:8080/","2025-1-2","18:55:46","longTask","3514.6999999955297","3602.6999999955297","88","self","-1","-1","-1"
"27","http://localhost:8080/","2025-1-2","18:55:55","LCP","4346.19999999553","4364.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"27","http://localhost:8080/","2025-1-2","18:55:55","longTask","3506.39999999851","3593.39999999851","87","self","-1","-1","-1"
"28","http://localhost:8080/","2025-1-2","18:56:05","LCP","4346","4366.30000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"28","http://localhost:8080/","2025-1-2","18:56:05","longTask","3510","3599","89","self","-1","-1","-1"
"29","http://localhost:8080/","2025-1-2","18:56:14","LCP","4367.70000000298","4388.30000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"29","http://localhost:8080/","2025-1-2","18:56:14","longTask","3511.4000000059605","3601.4000000059605","90","self","-1","-1","-1"
"30","http://localhost:8080/","2025-1-2","18:56:23","LCP","4331.5","4350.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"30","http://localhost:8080/","2025-1-2","18:56:23","longTask","3502.39999999851","3593.39999999851","91","self","-1","-1","-1"
"31","http://localhost:8080/","2025-1-2","18:56:32","LCP","4302.5","4321.79999999702","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"31","http://localhost:8080/","2025-1-2","18:56:32","longTask","3493.39999999851","3580.39999999851","87","self","-1","-1","-1"
"32","http://localhost:8080/","2025-1-2","18:56:41","LCP","4354.39999999851","4367","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"32","http://localhost:8080/","2025-1-2","18:56:41","longTask","3512.89999999851","3600.89999999851","88","self","-1","-1","-1"
"33","http://localhost:8080/","2025-1-2","18:56:50","LCP","4317.79999999702","4330.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"33","http://localhost:8080/","2025-1-2","18:56:50","longTask","3505.2999999970198","3593.2999999970198","88","self","-1","-1","-1"
"34","http://localhost:8080/","2025-1-2","18:56:59","LCP","4354.10000000149","4373.89999999851","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"34","http://localhost:8080/","2025-1-2","18:56:59","longTask","3495.2000000029802","3585.2000000029802","90","self","-1","-1","-1"
"35","http://localhost:8080/","2025-1-2","18:57:08","LCP","4381.10000000149","4401.10000000149","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"35","http://localhost:8080/","2025-1-2","18:57:08","longTask","3541.8000000044703","3628.8000000044703","87","self","-1","-1","-1"
"36","http://localhost:8080/","2025-1-2","18:57:18","LCP","4303.20000000298","4319.30000000447","0","-1","ref: <Node>","http://localhost:4000/img/scene/500/autonomous.webp",""
"36","http://localhost:8080/","2025-1-2","18:57:18","longTask","3520.7000000029802","3607.7000000029802","87","self","-1","-1","-1"
