site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/home/","2024-12-5","14:00:02","7107","12121","1150.199999988079","500.19999998807907","324.3999999910593","29","5668.29999999702","3","79",""
"http://localhost:8080/home/","2024-12-5","14:00:15","6937","11947","1021.5","371.5","225.09999999403954","14","1486.0999999940395","1","64",""
"http://localhost:8080/home/","2024-12-5","14:00:28","6951","11962","1035.4000000059605","368.70000000298023","224.70000000298023","19","1498","1","69",""
"http://localhost:8080/home/","2024-12-5","14:00:40","6954","11963","1031.5999999940395","364.8999999910593","221.8999999910593","14","1481.5999999940395","1","64",""
"http://localhost:8080/home/","2024-12-5","14:00:53","6972","11981","1054.0999999940395","370.69999998807907","226","16","1496.5","1","66",""
"http://localhost:8080/home/","2024-12-5","14:01:06","6949","11960","1053.7999999970198","370.5","226.40000000596046","15","1494.7999999970198","1","65",""
"http://localhost:8080/home/","2024-12-5","14:01:18","6958","11966","1049.5","366.20000000298023","226.09999999403954","14","1494.4000000059605","1","64",""
"http://localhost:8080/home/","2024-12-5","14:01:31","6975","11985","1047.5999999940395","364.29999999701977","227.59999999403954","14","1495.2999999970198","1","64",""
"http://localhost:8080/home/","2024-12-5","14:01:44","6957","11964","1020.2000000029802","370.20000000298023","225.30000001192093","15","1487.800000011921","1","65",""
"http://localhost:8080/home/","2024-12-5","14:01:56","6954","11964","1018.6999999880791","368.69999998807907","221.19999998807907","14","1482.7999999970198","1","64",""
"http://localhost:8080/home/","2024-12-5","14:02:09","6936","11944","1025.7000000029802","359","218.6000000089407","13","1477.7000000029802","1","63",""
"http://localhost:8080/home/","2024-12-5","14:02:22","6952","11963","1043.1000000089407","359.70000000298023","225.29999999701977","16","1495.2000000029802","1","66",""
"http://localhost:8080/home/","2024-12-5","14:02:34","6967","11975","1031.699999988079","365","221.5","14","1490","1","64",""
"http://localhost:8080/home/","2024-12-5","14:02:47","6966","11979","1035.7000000029802","369","225.5","13","1485.5","1","63",""
"http://localhost:8080/home/","2024-12-5","14:03:00","6947","11955","1030","363.20000000298023","221.09999999403954","14","1482.7999999970198","1","64",""
"http://localhost:8080/home/","2024-12-5","14:03:12","6947","11958","1037.2999999970198","370.59999999403954","220.70000000298023","14","1488.3999999910593","1","64",""
"http://localhost:8080/home/","2024-12-5","14:03:25","6948","11956","1036.7999999970198","370","220.70000000298023","18","1492.2000000029802","1","68",""
"http://localhost:8080/home/","2024-12-5","14:03:37","6949","11956","1034.4000000059605","367.6000000089407","218.30000001192093","14","1487.4000000059605","1","64",""
"http://localhost:8080/home/","2024-12-5","14:03:50","6944","11951","1052.0999999940395","368.70000000298023","225.59999999403954","14","1493.2999999970198","1","64",""
"http://localhost:8080/home/","2024-12-5","14:04:03","6966","11977","1035.5","368.79999999701977","219.5","16","1490.5999999940395","1","66",""
"http://localhost:8080/home/","2024-12-5","14:04:15","6951","11960","1023.1000000089407","373.1000000089407","225.1000000089407","17","1488.800000011921","1","67",""
"http://localhost:8080/home/","2024-12-5","14:04:28","6958","11969","1033.2999999970198","366.6000000089407","225","16","1496.2999999970198","1","66",""
"http://localhost:8080/home/","2024-12-5","14:04:41","6963","11971","1028.7999999970198","362","224.69999998807907","15","1486.3999999910593","1","65",""
"http://localhost:8080/home/","2024-12-5","14:04:53","6930","11941","1035.4000000059605","368.79999999701977","226","13","1485.5","1","63",""
"http://localhost:8080/home/","2024-12-5","14:05:06","6997","12004","1049.7999999970198","366.5","226.59999999403954","13","1492.2999999970198","1","63",""
"http://localhost:8080/home/","2024-12-5","14:05:19","6995","12004","1047.0999999940395","380.40000000596046","228","15","1498.4000000059605","1","65",""
"http://localhost:8080/home/","2024-12-5","14:05:31","6982","11991","1047.5","380.79999999701977","228.29999999701977","14","1497.3999999910593","1","64",""
"http://localhost:8080/home/","2024-12-5","14:05:44","6989","11999","1034.5999999940395","367.8999999910593","226.3999999910593","14","1493.5","1","64",""
"http://localhost:8080/home/","2024-12-5","14:05:57","6977","11986","1057.5999999940395","374.29999999701977","227.69999998807907","12","1494.7999999970198","1","62",""
"http://localhost:8080/home/","2024-12-5","14:06:09","6995","12007","1043.4000000059605","376.79999999701977","228.20000000298023","15","1496","1","65",""
"http://localhost:8080/home/","2024-12-5","14:06:22","6982","11990","1043.5999999940395","376.90000000596046","228.40000000596046","13","1494.7999999970198","1","63",""
"http://localhost:8080/home/","2024-12-5","14:06:35","6966","11977","1048.300000011921","364.90000000596046","227.40000000596046","13","1493.800000011921","1","63",""
"http://localhost:8080/home/","2024-12-5","14:06:47","6996","12005","1046.4000000059605","363.09999999403954","226.90000000596046","13","1499","1","63",""
"http://localhost:8080/home/","2024-12-5","14:07:00","6974","11985","1047.800000011921","364.40000000596046","226.1000000089407","12","1491.300000011921","1","62",""
"http://localhost:8080/home/","2024-12-5","14:07:13","6997","12006","1040.8999999910593","374.29999999701977","228.59999999403954","13","1495","1","63",""
"http://localhost:8080/home/","2024-12-5","14:07:25","6990","12001","1056.3999999910593","373.09999999403954","229","14","1497.0999999940395","1","64",""
"http://localhost:8080/home/","2024-12-5","14:07:38","7008","12017","1051.1000000089407","367.70000000298023","227.30000001192093","14","1495.2000000029802","1","64",""
"http://localhost:8080/home/","2024-12-5","14:07:51","6994","12006","1054.3999999910593","371","226.29999999701977","11","1499.0999999940395","1","61",""
"http://localhost:8080/home/","2024-12-5","14:08:03","6966","11973","1021.6999999880791","371.69999998807907","227","14","1487.3999999910593","1","64",""
"http://localhost:8080/home/","2024-12-5","14:08:16","6987","11999","1050.5999999940395","367.20000000298023","226.59999999403954","13","1491.8999999910593","1","63",""
"http://localhost:8080/home/","2024-12-5","14:08:29","7009","12018","1037.7000000029802","371","226.20000000298023","11","1485.0999999940395","1","61",""
