idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","16:25:53","425","5499","510.40000000596046","502","418.09999999403954","0","502","0","-1","482.09999999403954","488","546.9000000059605",""
"2","http://localhost:8080/","2024-12-14","16:25:59","49","5119","122.09999999403954","105.5","43","0","105.5","0","-1","87.59999999403954","92.09999999403954","149.19999998807907",""
"3","http://localhost:8080/","2024-12-14","16:26:05","45","5111","123.40000000596046","106.70000000298023","39.29999999701977","0","106.70000000298023","0","-1","87.5","91.20000000298023","148.5",""
"4","http://localhost:8080/","2024-12-14","16:26:11","42","5109","110.90000000596046","110.90000000596046","36.400000005960464","0","110.90000000596046","0","-1","79","82.29999999701977","139.70000000298023",""
"5","http://localhost:8080/","2024-12-14","16:26:17","44","5113","123.30000001192093","115","38.6000000089407","0","115","0","-1","84","87.5","143",""
"6","http://localhost:8080/","2024-12-14","16:26:22","40","5103","109.79999999701977","101.5","35.599999994039536","0","101.5","0","-1","78.09999999403954","80.79999999701977","138.59999999403954",""
"7","http://localhost:8080/","2024-12-14","16:26:28","41","5107","110.8999999910593","110.8999999910593","34.79999999701977","0","110.8999999910593","0","-1","79.5","82.3999999910593","140.5",""
"8","http://localhost:8080/","2024-12-14","16:26:34","38","5109","113.19999998807907","104.8999999910593","33.099999994039536","0","104.8999999910593","0","-1","79.8999999910593","83.19999998807907","140.59999999403954",""
"9","http://localhost:8080/","2024-12-14","16:26:40","45","5110","113.8999999910593","113.8999999910593","39.19999998807907","0","113.8999999910593","0","-1","81.69999998807907","84.5","142.8999999910593",""
"10","http://localhost:8080/","2024-12-14","16:26:45","38","5137","151","109.29999999701977","33.400000005960464","0","109.29999999701977","0","-1","76.70000000298023","79.29999999701977","135.20000000298023",""
"11","http://localhost:8080/","2024-12-14","16:26:51","39","5108","115.3999999910593","98.79999999701977","32.599999994039536","0","98.79999999701977","0","-1","80.79999999701977","83.59999999403954","140.29999999701977",""
"12","http://localhost:8080/","2024-12-14","16:26:57","36","5105","112.20000000298023","95.5","30.80000001192093","0","95.5","0","-1","77.40000000596046","80","137.20000000298023",""
"13","http://localhost:8080/","2024-12-14","16:27:03","38","5134","112","112","32.900000005960464","0","112","0","-1","72.40000000596046","75.29999999701977","132.40000000596046",""
"14","http://localhost:8080/","2024-12-14","16:27:08","36","5132","105.09999999403954","105.09999999403954","29.399999991059303","0","105.09999999403954","0","-1","67.70000000298023","70.59999999403954","127.70000000298023",""
"15","http://localhost:8080/","2024-12-14","16:27:14","35","5108","103","103","29","0","103","0","-1","77.29999999701977","82","139",""
"16","http://localhost:8080/","2024-12-14","16:27:20","40","5137","111.20000000298023","111.20000000298023","34.30000001192093","0","111.20000000298023","0","-1","75.20000000298023","78.30000001192093","134.90000000596046",""
"17","http://localhost:8080/","2024-12-14","16:27:26","35","5101","136.1000000089407","94.5","30","0","94.5","0","-1","72.6000000089407","76.20000000298023","130",""
"18","http://localhost:8080/","2024-12-14","16:27:31","29","5124","103.29999999701977","103.29999999701977","24.700000002980232","0","103.29999999701977","0","-1","64.09999999403954","67.09999999403954","123.8999999910593",""
"19","http://localhost:8080/","2024-12-14","16:27:37","38","5103","147.5","97.5","32.5","0","97.5","0","-1","75.29999999701977","78.19999998807907","133.5",""
"20","http://localhost:8080/","2024-12-14","16:27:43","37","5112","110.3999999910593","110.3999999910593","31.899999991059303","0","110.3999999910593","0","-1","77.5","80.20000000298023","135.3999999910593",""
"21","http://localhost:8080/","2024-12-14","16:27:49","34","5133","105.40000000596046","105.40000000596046","28.30000001192093","0","105.40000000596046","0","-1","71.20000000298023","74.30000001192093","130.40000000596046",""
"22","http://localhost:8080/","2024-12-14","16:27:54","35","5130","103","103","30","0","103","0","-1","70","72.90000000596046","128.5",""
"23","http://localhost:8080/","2024-12-14","16:28:00","33","5124","104","104","27.099999994039536","0","104","0","-1","70.29999999701977","72.8999999910593","126.5",""
