site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"
"http://localhost:8080/","2024-11-28","19:08:42","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:42","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:43","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:44","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:45","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:45","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:46","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:47","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:47","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:48","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:49","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:49","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:50","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
"
"http://localhost:8080/","2024-11-28","19:08:51","-1","-1","-1","-1","-1","0","-1","0","-1","page.goto: net::ERR_CONNECTION_REFUSED at http://localhost:8080/
Call log:
[2m  - navigating to "http://localhost:8080/", waiting until "networkidle"[22m
