name,cpu_percent,mem_usage,mem_limit,mem_percent
1735061014,discovery,4.69,28.09MiB,7.654GiB,0.36
1735061016,monolith,109.71,3.692GiB,4GiB,92.29
1735061016,recommendations,11.49,92.62MiB,7.654GiB,1.18
1735061016,teasers,11.61,102.8MiB,7.654GiB,1.31
1735061016,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061016,discovery,0.92,28.2MiB,7.654GiB,0.36
1735061018,monolith,109.25,3.691GiB,4GiB,92.28
1735061018,recommendations,14.63,92.64MiB,7.654GiB,1.18
1735061018,teasers,13.32,103.1MiB,7.654GiB,1.32
1735061018,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061018,discovery,1.40,28.23MiB,7.654GiB,0.36
1735061020,monolith,129.81,3.692GiB,4GiB,92.29
1735061020,recommendations,9.48,92.62MiB,7.654GiB,1.18
1735061020,teasers,20.33,103MiB,7.654GiB,1.31
1735061020,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061020,discovery,0.99,28.32MiB,7.654GiB,0.36
1735061022,monolith,107.77,3.692GiB,4GiB,92.30
1735061022,recommendations,11.41,92.65MiB,7.654GiB,1.18
1735061022,teasers,10.80,103MiB,7.654GiB,1.31
1735061022,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061022,discovery,1.28,28.44MiB,7.654GiB,0.36
1735061024,monolith,106.46,3.692GiB,4GiB,92.31
1735061024,recommendations,13.89,92.91MiB,7.654GiB,1.19
1735061024,teasers,12.27,104.5MiB,7.654GiB,1.33
1735061024,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061024,discovery,0.87,28.52MiB,7.654GiB,0.36
1735061026,monolith,111.89,3.693GiB,4GiB,92.32
1735061026,recommendations,9.62,92.75MiB,7.654GiB,1.18
1735061026,teasers,11.13,102.8MiB,7.654GiB,1.31
1735061026,cdn,0.28,17.88MiB,7.654GiB,0.23
1735061026,discovery,0.91,28.57MiB,7.654GiB,0.36
1735061028,monolith,106.87,3.693GiB,4GiB,92.33
1735061028,recommendations,9.92,93.08MiB,7.654GiB,1.19
1735061028,teasers,10.28,102.5MiB,7.654GiB,1.31
1735061028,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061028,discovery,1.26,28.64MiB,7.654GiB,0.37
1735061030,monolith,112.20,3.694GiB,4GiB,92.35
1735061030,recommendations,11.11,92.93MiB,7.654GiB,1.19
1735061030,teasers,18.04,102.3MiB,7.654GiB,1.30
1735061030,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061030,discovery,0.80,28.69MiB,7.654GiB,0.37
1735061032,monolith,107.43,3.694GiB,4GiB,92.34
1735061032,recommendations,11.05,93.01MiB,7.654GiB,1.19
1735061032,teasers,10.37,102.3MiB,7.654GiB,1.30
1735061032,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061032,discovery,0.76,28.75MiB,7.654GiB,0.37
1735061034,monolith,107.85,3.694GiB,4GiB,92.35
1735061034,recommendations,10.37,93.04MiB,7.654GiB,1.19
1735061034,teasers,12.23,102.4MiB,7.654GiB,1.31
1735061034,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061034,discovery,0.80,28.86MiB,7.654GiB,0.37
1735061036,monolith,105.78,3.706GiB,4GiB,92.64
1735061036,recommendations,8.30,93.07MiB,7.654GiB,1.19
1735061036,teasers,10.65,102.5MiB,7.654GiB,1.31
1735061036,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061036,discovery,0.71,28.92MiB,7.654GiB,0.37
1735061038,monolith,107.02,3.706GiB,4GiB,92.65
1735061038,recommendations,13.47,93.03MiB,7.654GiB,1.19
1735061038,teasers,9.41,102.3MiB,7.654GiB,1.31
1735061038,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061038,discovery,1.03,28.14MiB,7.654GiB,0.36
1735061040,monolith,106.89,3.706GiB,4GiB,92.65
1735061040,recommendations,16.79,93.15MiB,7.654GiB,1.19
1735061040,teasers,24.21,102.4MiB,7.654GiB,1.31
1735061040,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061040,discovery,0.91,28.21MiB,7.654GiB,0.36
1735061042,monolith,106.46,3.706GiB,4GiB,92.66
1735061042,recommendations,18.05,93.37MiB,7.654GiB,1.19
1735061042,teasers,10.25,102.3MiB,7.654GiB,1.31
1735061042,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061042,discovery,0.89,28.31MiB,7.654GiB,0.36
1735061044,monolith,142.86,3.707GiB,4GiB,92.67
1735061044,recommendations,10.11,94.61MiB,7.654GiB,1.21
1735061044,teasers,11.68,102.4MiB,7.654GiB,1.31
1735061044,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061044,discovery,0.84,28.32MiB,7.654GiB,0.36
1735061046,monolith,108.68,3.707GiB,4GiB,92.68
1735061046,recommendations,9.49,93.73MiB,7.654GiB,1.20
1735061046,teasers,12.18,102.3MiB,7.654GiB,1.31
1735061046,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061046,discovery,1.33,28.5MiB,7.654GiB,0.36
1735061048,monolith,108.68,3.707GiB,4GiB,92.68
1735061048,recommendations,11.63,93.72MiB,7.654GiB,1.20
1735061048,teasers,12.37,102.4MiB,7.654GiB,1.31
1735061048,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061048,discovery,0.91,28.62MiB,7.654GiB,0.37
1735061050,monolith,139.60,3.708GiB,4GiB,92.69
1735061050,recommendations,11.41,93.98MiB,7.654GiB,1.20
1735061050,teasers,19.87,102.5MiB,7.654GiB,1.31
1735061050,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061050,discovery,0.87,28.71MiB,7.654GiB,0.37
1735061052,monolith,107.41,3.708GiB,4GiB,92.70
1735061052,recommendations,10.59,94.92MiB,7.654GiB,1.21
1735061052,teasers,10.97,102.5MiB,7.654GiB,1.31
1735061052,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061052,discovery,0.99,28.82MiB,7.654GiB,0.37
1735061054,monolith,121.60,3.73GiB,4GiB,93.26
1735061054,recommendations,11.48,93.84MiB,7.654GiB,1.20
1735061054,teasers,12.24,103.1MiB,7.654GiB,1.32
1735061054,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061054,discovery,0.84,28.17MiB,7.654GiB,0.36
1735061056,monolith,105.83,3.731GiB,4GiB,93.26
1735061056,recommendations,13.96,94.1MiB,7.654GiB,1.20
1735061056,teasers,8.02,102.7MiB,7.654GiB,1.31
1735061056,cdn,0.15,17.88MiB,7.654GiB,0.23
1735061056,discovery,0.80,28.25MiB,7.654GiB,0.36
1735061058,monolith,114.39,3.731GiB,4GiB,93.28
1735061058,recommendations,28.37,94.14MiB,7.654GiB,1.20
1735061058,teasers,30.80,102.8MiB,7.654GiB,1.31
1735061058,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061058,discovery,1.60,28.38MiB,7.654GiB,0.36
1735061060,monolith,109.02,3.731GiB,4GiB,93.28
1735061060,recommendations,23.96,94.86MiB,7.654GiB,1.21
1735061060,teasers,14.18,103.8MiB,7.654GiB,1.32
1735061060,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061060,discovery,1.12,28.48MiB,7.654GiB,0.36
1735061062,monolith,107.31,3.732GiB,4GiB,93.31
1735061062,recommendations,11.13,94.22MiB,7.654GiB,1.20
1735061062,teasers,10.21,102.8MiB,7.654GiB,1.31
1735061062,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061062,discovery,0.81,28.59MiB,7.654GiB,0.36
1735061064,monolith,107.42,3.732GiB,4GiB,93.30
1735061064,recommendations,12.34,94.38MiB,7.654GiB,1.20
1735061064,teasers,8.12,102.9MiB,7.654GiB,1.31
1735061064,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061064,discovery,0.71,28.7MiB,7.654GiB,0.37
1735061066,monolith,108.45,3.927GiB,4GiB,98.17
1735061066,recommendations,13.09,94.41MiB,7.654GiB,1.20
1735061066,teasers,24.78,102.9MiB,7.654GiB,1.31
1735061066,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061066,discovery,0.82,28.81MiB,7.654GiB,0.37
1735061068,monolith,107.89,3.928GiB,4GiB,98.20
1735061068,recommendations,9.88,94.42MiB,7.654GiB,1.20
1735061068,teasers,9.99,102.9MiB,7.654GiB,1.31
1735061068,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061068,discovery,0.85,28.12MiB,7.654GiB,0.36
1735061070,monolith,119.10,3.929GiB,4GiB,98.24
1735061070,recommendations,24.77,94.91MiB,7.654GiB,1.21
1735061070,teasers,17.58,103MiB,7.654GiB,1.31
1735061070,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061070,discovery,1.18,28.28MiB,7.654GiB,0.36
1735061072,monolith,107.64,3.93GiB,4GiB,98.24
1735061072,recommendations,9.74,94.69MiB,7.654GiB,1.21
1735061072,teasers,9.23,103MiB,7.654GiB,1.31
1735061072,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061072,discovery,0.89,28.39MiB,7.654GiB,0.36
1735061074,monolith,109.40,3.932GiB,4GiB,98.30
1735061074,recommendations,21.04,94.68MiB,7.654GiB,1.21
1735061074,teasers,9.02,103MiB,7.654GiB,1.31
1735061074,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061074,discovery,1.35,28.51MiB,7.654GiB,0.36
1735061076,monolith,109.21,3.932GiB,4GiB,98.31
1735061076,recommendations,11.21,94.67MiB,7.654GiB,1.21
1735061076,teasers,16.74,103MiB,7.654GiB,1.31
1735061076,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061076,discovery,0.95,28.59MiB,7.654GiB,0.36
1735061078,monolith,108.90,3.933GiB,4GiB,98.33
1735061078,recommendations,12.39,94.71MiB,7.654GiB,1.21
1735061078,teasers,10.89,103MiB,7.654GiB,1.31
1735061078,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061078,discovery,1.02,28.7MiB,7.654GiB,0.37
1735061080,monolith,107.72,3.934GiB,4GiB,98.35
1735061080,recommendations,10.83,94.73MiB,7.654GiB,1.21
1735061080,teasers,13.90,103.8MiB,7.654GiB,1.32
1735061080,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061080,discovery,0.74,28.83MiB,7.654GiB,0.37
1735061082,monolith,126.74,3.935GiB,4GiB,98.38
1735061082,recommendations,11.06,94.76MiB,7.654GiB,1.21
1735061082,teasers,9.72,103.6MiB,7.654GiB,1.32
1735061082,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061082,discovery,0.97,28.14MiB,7.654GiB,0.36
1735061084,monolith,108.53,3.936GiB,4GiB,98.40
1735061084,recommendations,10.68,94.79MiB,7.654GiB,1.21
1735061084,teasers,8.96,103.6MiB,7.654GiB,1.32
1735061084,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061084,discovery,1.14,28.25MiB,7.654GiB,0.36
1735061086,monolith,110.70,3.936GiB,4GiB,98.41
1735061086,recommendations,9.73,95.1MiB,7.654GiB,1.21
1735061086,teasers,20.30,103.6MiB,7.654GiB,1.32
1735061086,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061086,discovery,1.06,28.36MiB,7.654GiB,0.36
1735061088,monolith,128.57,3.938GiB,4GiB,98.44
1735061088,recommendations,14.17,94.77MiB,7.654GiB,1.21
1735061088,teasers,11.42,103.6MiB,7.654GiB,1.32
1735061088,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061088,discovery,0.86,28.46MiB,7.654GiB,0.36
1735061090,monolith,108.34,3.939GiB,4GiB,98.47
1735061090,recommendations,11.02,94.78MiB,7.654GiB,1.21
1735061090,teasers,11.96,103.7MiB,7.654GiB,1.32
1735061090,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061090,discovery,1.05,28.57MiB,7.654GiB,0.36
1735061092,monolith,109.20,3.94GiB,4GiB,98.49
1735061092,recommendations,13.92,94.77MiB,7.654GiB,1.21
1735061092,teasers,12.03,103.7MiB,7.654GiB,1.32
1735061092,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061092,discovery,1.00,28.7MiB,7.654GiB,0.37
1735061094,monolith,129.16,3.941GiB,4GiB,98.53
1735061094,recommendations,12.14,94.84MiB,7.654GiB,1.21
1735061094,teasers,12.25,103.7MiB,7.654GiB,1.32
1735061094,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061094,discovery,0.94,28.78MiB,7.654GiB,0.37
1735061096,monolith,108.61,3.942GiB,4GiB,98.54
1735061096,recommendations,9.55,94.81MiB,7.654GiB,1.21
1735061096,teasers,9.71,104MiB,7.654GiB,1.33
1735061096,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061096,discovery,1.04,28.15MiB,7.654GiB,0.36
1735061099,monolith,109.47,3.943GiB,4GiB,98.58
1735061099,recommendations,10.63,94.83MiB,7.654GiB,1.21
1735061099,teasers,9.18,103.7MiB,7.654GiB,1.32
1735061099,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061099,discovery,1.27,28.2MiB,7.654GiB,0.36
1735061101,monolith,107.85,3.944GiB,4GiB,98.60
1735061101,recommendations,12.35,94.87MiB,7.654GiB,1.21
1735061101,teasers,7.42,103.8MiB,7.654GiB,1.32
1735061101,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061101,discovery,1.03,28.29MiB,7.654GiB,0.36
1735061103,monolith,110.95,3.945GiB,4GiB,98.62
1735061103,recommendations,12.25,94.88MiB,7.654GiB,1.21
1735061103,teasers,22.25,104.1MiB,7.654GiB,1.33
1735061103,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061103,discovery,1.24,28.42MiB,7.654GiB,0.36
1735061105,monolith,107.20,3.947GiB,4GiB,98.66
1735061105,recommendations,8.02,94.86MiB,7.654GiB,1.21
1735061105,teasers,8.40,104MiB,7.654GiB,1.33
1735061105,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061105,discovery,0.98,28.52MiB,7.654GiB,0.36
1735061107,monolith,108.69,3.947GiB,4GiB,98.67
1735061107,recommendations,20.75,94.89MiB,7.654GiB,1.21
1735061107,teasers,11.16,104MiB,7.654GiB,1.33
1735061107,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061107,discovery,1.05,28.51MiB,7.654GiB,0.36
1735061109,monolith,108.69,3.949GiB,4GiB,98.72
1735061109,recommendations,15.07,94.93MiB,7.654GiB,1.21
1735061109,teasers,9.46,103.9MiB,7.654GiB,1.33
1735061109,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061109,discovery,1.24,28.62MiB,7.654GiB,0.37
1735061111,monolith,108.62,3.948GiB,4GiB,98.71
1735061111,recommendations,21.27,94.97MiB,7.654GiB,1.21
1735061111,teasers,10.96,104MiB,7.654GiB,1.33
1735061111,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061111,discovery,0.97,28.83MiB,7.654GiB,0.37
1735061113,monolith,107.57,3.95GiB,4GiB,98.74
1735061113,recommendations,13.79,95.24MiB,7.654GiB,1.22
1735061113,teasers,18.26,104MiB,7.654GiB,1.33
1735061113,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061113,discovery,0.91,28.22MiB,7.654GiB,0.36
1735061115,monolith,109.09,3.951GiB,4GiB,98.77
1735061115,recommendations,13.26,95.03MiB,7.654GiB,1.21
1735061115,teasers,11.17,104.2MiB,7.654GiB,1.33
1735061115,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061115,discovery,1.21,28.27MiB,7.654GiB,0.36
1735061117,monolith,145.29,3.952GiB,4GiB,98.79
1735061117,recommendations,13.81,95.19MiB,7.654GiB,1.21
1735061117,teasers,14.95,104.1MiB,7.654GiB,1.33
1735061117,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061117,discovery,0.96,28.36MiB,7.654GiB,0.36
1735061119,monolith,108.08,3.952GiB,4GiB,98.81
1735061119,recommendations,9.48,95.44MiB,7.654GiB,1.22
1735061119,teasers,9.79,103.9MiB,7.654GiB,1.33
1735061119,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061119,discovery,1.44,28.44MiB,7.654GiB,0.36
1735061121,monolith,106.39,3.935GiB,4GiB,98.36
1735061121,recommendations,14.07,96.18MiB,7.654GiB,1.23
1735061121,teasers,10.35,103.9MiB,7.654GiB,1.33
1735061121,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061121,discovery,2.10,28.52MiB,7.654GiB,0.36
1735061123,monolith,107.97,3.935GiB,4GiB,98.37
1735061123,recommendations,9.65,95.51MiB,7.654GiB,1.22
1735061123,teasers,8.62,104.1MiB,7.654GiB,1.33
1735061123,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061123,discovery,0.72,28.6MiB,7.654GiB,0.36
1735061125,monolith,108.20,3.934GiB,4GiB,98.34
1735061125,recommendations,18.44,95.56MiB,7.654GiB,1.22
1735061125,teasers,9.44,104MiB,7.654GiB,1.33
1735061125,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061125,discovery,0.83,28.64MiB,7.654GiB,0.37
1735061127,monolith,106.10,3.934GiB,4GiB,98.34
1735061127,recommendations,12.11,95.93MiB,7.654GiB,1.22
1735061127,teasers,8.14,104.1MiB,7.654GiB,1.33
1735061127,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061127,discovery,0.74,28.73MiB,7.654GiB,0.37
1735061129,monolith,126.99,3.936GiB,4GiB,98.40
1735061129,recommendations,8.04,95.66MiB,7.654GiB,1.22
1735061129,teasers,11.66,104.3MiB,7.654GiB,1.33
1735061129,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061129,discovery,0.73,28.8MiB,7.654GiB,0.37
1735061131,monolith,105.93,3.936GiB,4GiB,98.40
1735061131,recommendations,10.45,95.6MiB,7.654GiB,1.22
1735061131,teasers,7.26,104.3MiB,7.654GiB,1.33
1735061131,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061131,discovery,0.74,28.84MiB,7.654GiB,0.37
1735061133,monolith,109.44,3.936GiB,4GiB,98.41
1735061133,recommendations,11.99,95.63MiB,7.654GiB,1.22
1735061133,teasers,15.63,104.5MiB,7.654GiB,1.33
1735061133,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061133,discovery,1.39,28.13MiB,7.654GiB,0.36
1735061135,monolith,108.54,3.937GiB,4GiB,98.43
1735061135,recommendations,10.68,95.93MiB,7.654GiB,1.22
1735061135,teasers,7.72,104.6MiB,7.654GiB,1.34
1735061135,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061135,discovery,1.11,28.26MiB,7.654GiB,0.36
1735061137,monolith,108.87,3.937GiB,4GiB,98.43
1735061137,recommendations,10.18,95.64MiB,7.654GiB,1.22
1735061137,teasers,8.60,104.7MiB,7.654GiB,1.34
1735061137,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061137,discovery,0.93,28.34MiB,7.654GiB,0.36
1735061139,monolith,138.67,3.937GiB,4GiB,98.43
1735061139,recommendations,15.01,95.61MiB,7.654GiB,1.22
1735061139,teasers,15.60,104.7MiB,7.654GiB,1.34
1735061139,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061139,discovery,1.27,28.46MiB,7.654GiB,0.36
1735061141,monolith,110.96,3.938GiB,4GiB,98.45
1735061141,recommendations,13.67,95.57MiB,7.654GiB,1.22
1735061141,teasers,13.72,104.6MiB,7.654GiB,1.33
1735061141,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061141,discovery,0.81,28.57MiB,7.654GiB,0.36
1735061143,monolith,108.13,3.938GiB,4GiB,98.45
1735061143,recommendations,17.67,95.61MiB,7.654GiB,1.22
1735061143,teasers,9.34,104.6MiB,7.654GiB,1.33
1735061143,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061143,discovery,0.76,28.66MiB,7.654GiB,0.37
1735061145,monolith,128.37,3.938GiB,4GiB,98.46
1735061145,recommendations,9.69,95.62MiB,7.654GiB,1.22
1735061145,teasers,16.88,104.6MiB,7.654GiB,1.33
1735061145,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061145,discovery,0.94,28.78MiB,7.654GiB,0.37
1735061147,monolith,106.98,3.939GiB,4GiB,98.47
1735061147,recommendations,7.68,95.64MiB,7.654GiB,1.22
1735061147,teasers,9.32,104.8MiB,7.654GiB,1.34
1735061147,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061147,discovery,0.94,28.13MiB,7.654GiB,0.36
1735061149,monolith,109.33,3.939GiB,4GiB,98.48
1735061149,recommendations,11.82,95.67MiB,7.654GiB,1.22
1735061149,teasers,10.73,104.9MiB,7.654GiB,1.34
1735061149,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061149,discovery,1.24,28.21MiB,7.654GiB,0.36
1735061151,monolith,108.53,3.939GiB,4GiB,98.49
1735061151,recommendations,8.60,95.98MiB,7.654GiB,1.22
1735061151,teasers,10.46,105.1MiB,7.654GiB,1.34
1735061151,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061151,discovery,0.92,28.31MiB,7.654GiB,0.36
1735061153,monolith,108.41,3.94GiB,4GiB,98.49
1735061153,recommendations,20.49,96.07MiB,7.654GiB,1.23
1735061153,teasers,10.62,105.2MiB,7.654GiB,1.34
1735061153,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061153,discovery,1.12,28.44MiB,7.654GiB,0.36
1735061155,monolith,106.36,3.951GiB,4GiB,98.78
1735061155,recommendations,9.77,95.72MiB,7.654GiB,1.22
1735061155,teasers,13.32,105.1MiB,7.654GiB,1.34
1735061155,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061155,discovery,0.93,28.55MiB,7.654GiB,0.36
1735061157,monolith,108.46,3.952GiB,4GiB,98.80
1735061157,recommendations,15.20,95.73MiB,7.654GiB,1.22
1735061157,teasers,8.05,105.2MiB,7.654GiB,1.34
1735061157,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061157,discovery,0.68,28.65MiB,7.654GiB,0.37
1735061159,monolith,107.49,3.952GiB,4GiB,98.79
1735061159,recommendations,7.66,95.79MiB,7.654GiB,1.22
1735061159,teasers,11.32,105.2MiB,7.654GiB,1.34
1735061159,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061159,discovery,1.04,28.76MiB,7.654GiB,0.37
1735061161,monolith,106.96,3.952GiB,4GiB,98.80
1735061161,recommendations,8.08,96.03MiB,7.654GiB,1.23
1735061161,teasers,6.96,105.2MiB,7.654GiB,1.34
1735061161,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061161,discovery,0.68,28.89MiB,7.654GiB,0.37
1735061163,monolith,118.89,3.952GiB,4GiB,98.81
1735061163,recommendations,9.86,95.76MiB,7.654GiB,1.22
1735061163,teasers,9.26,105.2MiB,7.654GiB,1.34
1735061163,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061163,discovery,1.26,28.18MiB,7.654GiB,0.36
1735061165,monolith,108.55,3.953GiB,4GiB,98.82
1735061165,recommendations,15.98,95.75MiB,7.654GiB,1.22
1735061165,teasers,22.69,105.5MiB,7.654GiB,1.35
1735061165,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061165,discovery,1.03,28.3MiB,7.654GiB,0.36
1735061167,monolith,109.73,3.953GiB,4GiB,98.83
1735061167,recommendations,10.24,97.49MiB,7.654GiB,1.24
1735061167,teasers,11.63,105.3MiB,7.654GiB,1.34
1735061167,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061167,discovery,1.52,28.41MiB,7.654GiB,0.36
1735061169,monolith,154.57,3.965GiB,4GiB,99.13
1735061169,recommendations,13.85,96.04MiB,7.654GiB,1.23
1735061169,teasers,14.75,105.4MiB,7.654GiB,1.34
1735061169,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061169,discovery,1.12,28.77MiB,7.654GiB,0.37
1735061171,monolith,109.92,3.965GiB,4GiB,99.13
1735061171,recommendations,20.01,96.27MiB,7.654GiB,1.23
1735061171,teasers,20.94,105.3MiB,7.654GiB,1.34
1735061171,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061171,discovery,0.95,28.63MiB,7.654GiB,0.37
1735061173,monolith,109.02,3.965GiB,4GiB,99.13
1735061173,recommendations,6.61,96MiB,7.654GiB,1.22
1735061173,teasers,9.61,105.6MiB,7.654GiB,1.35
1735061173,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061173,discovery,0.79,28.73MiB,7.654GiB,0.37
1735061175,monolith,106.37,3.999GiB,4GiB,99.97
1735061175,recommendations,14.04,96.1MiB,7.654GiB,1.23
1735061175,teasers,11.79,105.3MiB,7.654GiB,1.34
1735061175,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061175,discovery,0.91,28.83MiB,7.654GiB,0.37
1735061177,monolith,107.24,3.997GiB,4GiB,99.93
1735061177,recommendations,10.61,96.06MiB,7.654GiB,1.23
1735061177,teasers,9.38,105.4MiB,7.654GiB,1.34
1735061177,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061177,discovery,0.78,28.89MiB,7.654GiB,0.37
1735061179,monolith,105.45,3.95GiB,4GiB,98.76
1735061179,recommendations,8.79,96.06MiB,7.654GiB,1.23
1735061179,teasers,7.89,105.7MiB,7.654GiB,1.35
1735061179,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061179,discovery,0.93,28.15MiB,7.654GiB,0.36
1735061181,monolith,105.94,3.986GiB,4GiB,99.65
1735061181,recommendations,8.76,96.27MiB,7.654GiB,1.23
1735061181,teasers,14.02,105.2MiB,7.654GiB,1.34
1735061181,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061181,discovery,0.80,28.2MiB,7.654GiB,0.36
1735061183,monolith,105.94,3.985GiB,4GiB,99.63
1735061183,recommendations,6.99,96.12MiB,7.654GiB,1.23
1735061183,teasers,7.47,105.4MiB,7.654GiB,1.34
1735061183,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061183,discovery,0.98,28.29MiB,7.654GiB,0.36
1735061185,monolith,132.85,3.998GiB,4GiB,99.96
1735061185,recommendations,15.65,96.11MiB,7.654GiB,1.23
1735061185,teasers,9.69,105.4MiB,7.654GiB,1.35
1735061185,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061185,discovery,0.94,28.83MiB,7.654GiB,0.37
1735061187,monolith,105.87,3.997GiB,4GiB,99.92
1735061187,recommendations,8.53,96.16MiB,7.654GiB,1.23
1735061187,teasers,14.63,105.4MiB,7.654GiB,1.34
1735061187,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061187,discovery,0.81,28.39MiB,7.654GiB,0.36
1735061189,monolith,106.72,3.997GiB,4GiB,99.92
1735061189,recommendations,12.06,96.96MiB,7.654GiB,1.24
1735061189,teasers,9.17,105.3MiB,7.654GiB,1.34
1735061189,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061189,discovery,0.89,28.49MiB,7.654GiB,0.36
1735061191,monolith,107.56,3.999GiB,4GiB,99.98
1735061191,recommendations,9.29,96.33MiB,7.654GiB,1.23
1735061191,teasers,9.72,105.7MiB,7.654GiB,1.35
1735061191,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061191,discovery,0.88,28.52MiB,7.654GiB,0.36
1735061193,monolith,113.52,3.998GiB,4GiB,99.95
1735061193,recommendations,24.06,96.07MiB,7.654GiB,1.23
1735061193,teasers,17.85,105.5MiB,7.654GiB,1.35
1735061193,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061193,discovery,0.96,28.59MiB,7.654GiB,0.36
1735061196,monolith,138.90,3.999GiB,4GiB,99.99
1735061196,recommendations,12.95,96.14MiB,7.654GiB,1.23
1735061196,teasers,9.82,105.5MiB,7.654GiB,1.35
1735061196,cdn,0.00,17.88MiB,7.654GiB,0.23
1735061196,discovery,0.94,28.68MiB,7.654GiB,0.37
1735061198,monolith,107.47,3.999GiB,4GiB,99.97
1735061198,recommendations,9.15,96.21MiB,7.654GiB,1.23
1735061198,teasers,16.82,105.4MiB,7.654GiB,1.35
