timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,recommendations_cpu_percent,teasers_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,recommendations_mem_percent,teasers_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,recommendations_mem_usage,teasers_mem_usage,duration_mean,duration_min,duration_max,duration_count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,3.0,208.89,36.16,31.63,0.35,0.47,26.35,2.06,1.88,27.42,36.49,2064.0,161.7,147.3,26.584756880733945,7.795,572.703,436,83.4,83.0,84.0,417.0,0.0,0.0
5,0.0,4.71,166.85,39.11,30.8,0.35,0.53,36.07,2.65,2.1,27.42,41.18,2827.0,207.9,164.4,8.885966426858513,6.644,31.562,417,83.2,83.0,84.0,416.0,0.0,0.0
10,0.0,2.13,144.83,25.67,25.36,0.35,0.53,36.26,2.68,2.19,27.42,41.59,2841.0,210.4,172.0,8.34857314148681,6.342,24.827,417,83.4,83.0,84.0,417.0,0.0,0.0
15,0.01,3.8,128.81,28.06,26.16,0.35,0.62,36.33,3.07,2.13,27.42,48.73,2847.0,240.4,166.7,7.441853365384616,5.361,16.812,416,83.4,83.0,84.0,417.0,0.0,0.0
20,0.0,2.66,161.99,27.58,22.67,0.35,0.63,36.82,2.73,1.99,27.42,49.25,2885.0,214.1,156.1,7.3671486810551565,5.23,27.463,417,83.2,83.0,84.0,416.0,0.0,0.0
25,0.0,3.7,159.77,22.96,26.07,0.35,0.64,36.91,2.45,1.91,27.42,50.39,2892.0,192.0,149.6,7.294916067146283,5.036,20.957,417,83.4,83.0,84.0,417.0,0.0,0.0
30,0.0,2.09,117.82,22.13,29.2,0.35,0.7,37.17,2.41,1.77,27.42,54.92,2913.0,188.9,138.9,7.186653846153846,5.92,19.611,416,83.4,83.0,84.0,417.0,0.0,0.0
35,0.0,3.05,118.1,23.49,22.12,0.35,0.8,37.23,2.37,1.76,27.42,62.6,2918.0,185.4,138.3,6.932177458033573,5.285,14.481,417,83.2,83.0,84.0,416.0,0.0,0.0
40,0.0,2.0,142.67,22.2,28.69,0.35,0.8,37.58,2.35,1.69,27.42,62.66,2945.0,184.5,132.2,7.034352517985611,5.808,18.797,417,83.4,83.0,84.0,417.0,0.0,0.0
45,0.0,3.47,118.99,26.49,20.9,0.35,0.82,37.64,2.26,1.69,27.42,63.94,2950.0,177.0,132.4,6.8270360576923075,5.795,14.624,416,83.4,83.0,84.0,417.0,0.0,0.0
50,0.0,1.92,116.25,26.85,24.01,0.35,0.82,37.9,2.34,1.67,27.42,64.07,2970.0,183.2,130.8,6.786155875299761,4.944,13.073,417,83.2,83.0,84.0,416.0,0.0,0.0
55,0.0,1.97,133.49,23.4,23.62,0.35,0.84,38.07,2.39,1.67,27.42,66.14,2983.0,187.2,130.8,6.800151079136691,5.829,14.353,417,83.4,83.0,84.0,417.0,0.0,0.0
60,0.0,2.17,127.12,19.3,22.84,0.35,0.85,38.27,2.32,1.67,27.42,66.7,2999.0,181.5,130.7,6.737752403846154,5.716,19.269,416,83.4,83.0,84.0,417.0,0.0,0.0
65,0.0,1.77,120.58,19.68,23.74,0.35,0.86,38.52,2.25,1.67,27.42,67.34,3018.0,176.6,131.2,6.661431654676259,5.884,13.598,417,83.2,83.0,84.0,416.0,0.0,0.0
70,0.0,2.33,126.12,25.98,21.23,0.35,0.86,38.75,2.36,1.67,27.42,67.18,3037.0,185.0,130.8,6.61642206235012,5.374,13.735,417,83.4,83.0,84.0,417.0,0.0,0.0
75,0.0,1.69,117.17,22.22,22.48,0.35,0.86,38.93,2.3,1.67,27.43,67.27,3050.0,180.4,130.5,6.683507211538461,5.702,16.344,416,83.4,83.0,84.0,417.0,0.0,0.0
80,0.0,1.78,118.93,23.09,21.86,0.35,0.86,39.1,2.02,1.67,27.43,67.36,3064.0,158.2,131.1,6.634966426858513,5.583,14.413,417,83.2,83.0,84.0,416.0,0.0,0.0
85,0.0,1.68,116.17,21.59,27.79,0.35,0.86,39.19,1.93,1.67,27.43,67.36,3072.0,151.5,130.5,6.554621103117506,5.786,12.47,417,83.4,83.0,84.0,417.0,0.0,0.0
90,0.0,2.32,114.77,25.48,27.99,0.35,0.86,39.4,1.96,1.68,27.43,67.51,3088.0,153.8,132.0,6.595177884615385,5.374,12.765,416,83.4,83.0,84.0,417.0,0.0,0.0
95,0.0,1.89,119.89,26.7,27.18,0.35,0.87,39.57,1.94,1.67,27.43,67.85,3101.0,151.7,131.2,6.587143884892086,5.742,14.217,417,83.2,83.0,84.0,416.0,0.0,0.0
100,0.0,1.93,116.49,21.87,20.52,0.35,0.86,39.91,1.91,1.68,27.43,67.77,3127.0,149.5,131.4,6.610153846153846,5.512,13.692,416,83.4,83.0,84.0,417.0,0.0,0.0
105,0.0,1.7,115.25,24.19,22.7,0.35,0.86,39.96,1.91,1.68,27.43,67.78,3131.0,149.4,131.3,6.641728365384615,5.642,16.659,416,83.2,83.0,84.0,416.0,0.0,0.0
110,,,,,,,,,,,,,,,,6.592381294964029,5.73,15.122,417,83.2,83.0,84.0,416.0,0.0,0.0
115,0.0,1.88,160.58,19.81,26.47,0.35,0.87,40.6,1.91,1.67,27.43,67.85,3181.0,149.5,131.3,6.716028846153846,5.685,17.686,416,83.2,83.0,84.0,416.0,0.0,0.0
120,0.0,1.64,115.01,25.26,26.05,0.35,0.87,40.62,1.9,1.69,27.43,67.96,3183.0,149.2,132.2,6.616975961538461,5.691,15.046,416,83.2,83.0,84.0,416.0,0.0,0.0
125,0.0,1.61,114.77,24.73,20.77,0.35,0.87,40.72,1.93,1.68,27.43,68.04,3190.0,151.3,131.4,6.59431654676259,5.404,12.732,417,83.4,83.0,84.0,417.0,0.0,0.0
130,0.0,1.66,117.94,21.87,24.54,0.35,0.87,41.02,1.91,1.68,27.43,68.28,3214.0,150.0,131.4,6.588026442307693,5.646,15.453,416,83.2,83.0,84.0,416.0,0.0,0.0
135,0.0,1.71,114.51,25.62,22.54,0.35,0.87,41.13,1.96,1.68,27.43,68.19,3223.0,153.9,131.9,6.657693045563549,5.426,15.304,417,83.4,83.0,84.0,417.0,0.0,0.0
140,0.0,1.87,115.18,26.07,25.65,0.35,0.87,41.24,2.02,1.68,27.43,68.25,3231.0,158.6,132.1,6.640367788461538,5.954,14.18,416,83.2,83.0,84.0,416.0,0.0,0.0
145,0.0,1.83,120.16,20.13,21.69,0.35,0.87,41.41,2.04,1.7,27.43,68.3,3245.0,159.5,133.5,6.5590599520383694,4.502,15.591,417,83.4,83.0,84.0,417.0,0.0,0.0
150,0.0,1.86,114.74,24.91,21.67,0.35,0.87,41.51,1.9,1.74,27.43,68.22,3253.0,149.0,136.3,6.79053125,5.884,15.618,416,83.4,83.0,84.0,417.0,0.0,0.0
155,0.0,1.79,114.27,22.14,26.26,0.35,0.87,41.76,1.92,1.72,27.43,68.37,3272.0,150.8,135.0,6.752134292565947,5.824,13.841,417,83.2,83.0,84.0,416.0,0.0,0.0
160,0.0,1.93,115.0,28.52,25.09,0.35,0.87,41.84,2.04,1.75,27.43,68.49,3279.0,159.5,136.9,7.015700239808154,5.73,13.471,417,83.4,83.0,84.0,417.0,0.0,0.0
165,0.0,1.83,114.94,25.21,22.24,0.35,0.88,42.19,2.07,1.78,27.43,68.59,3306.0,162.0,139.4,6.771704326923077,5.781,15.924,416,83.4,83.0,84.0,417.0,0.0,0.0
170,0.0,1.89,114.88,32.1,21.47,0.35,0.87,42.26,2.09,1.73,27.43,68.48,3311.0,163.8,135.8,6.83367386091127,4.938,13.892,417,83.2,83.0,84.0,416.0,0.0,0.0
175,0.0,2.98,119.34,26.77,22.5,0.35,0.88,42.41,2.08,1.75,27.43,68.73,3323.0,163.4,136.9,6.744887290167865,5.826,13.818,417,83.4,83.0,84.0,417.0,0.0,0.0
180,0.0,1.66,115.45,23.31,19.39,0.35,0.88,42.61,2.01,1.74,27.43,68.86,3339.0,157.4,136.0,6.674831730769231,5.732,15.756,416,83.4,83.0,84.0,417.0,0.0,0.0
185,0.0,1.74,114.97,24.81,23.95,0.35,0.88,42.7,2.07,1.67,27.43,68.77,3346.0,162.0,130.5,6.66246762589928,5.552,14.516,417,83.2,83.0,84.0,416.0,0.0,0.0
190,0.0,1.72,119.34,22.03,26.64,0.35,0.88,42.88,2.06,1.66,27.43,68.86,3360.0,161.2,130.1,6.661184652278178,5.899,15.155,417,83.4,83.0,84.0,417.0,0.0,0.0
195,0.0,1.65,114.84,25.13,20.89,0.35,0.88,43.0,2.17,1.7,27.43,69.1,3369.0,170.0,133.0,6.599644230769231,5.459,16.719,416,83.4,83.0,84.0,417.0,0.0,0.0
200,0.0,2.45,114.77,21.48,24.09,0.35,0.88,43.09,2.18,1.73,27.43,69.24,3377.0,170.8,135.9,6.636462829736211,5.723,14.381,417,83.2,83.0,84.0,416.0,0.0,0.0
205,0.0,1.68,114.23,21.12,25.2,0.35,0.88,43.22,2.05,1.76,27.43,69.04,3387.0,160.6,138.3,6.533148681055155,5.807,15.688,417,83.4,83.0,84.0,417.0,0.0,0.0
210,0.0,1.72,114.99,25.08,24.09,0.35,0.88,43.4,2.06,1.71,27.43,69.11,3400.0,161.3,133.9,6.629651442307692,5.857,14.321,416,83.4,83.0,84.0,417.0,0.0,0.0
