idx,site,date,time,type,start,end,duration,name,element,url,id
"18","http://localhost:8080/","2024-12-10","09:03:20","longTask","3492.7000000011176","3558.7000000011176","66","self","-1","-1","-1"
"19","http://localhost:8080/","2024-12-10","09:03:30","LCP","1177.5999999996275","1195.8999999985099","18.299999998882413","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2024-12-10","09:03:30","longTask","3459.199999999255","3526.199999999255","67","self","-1","-1","-1"
"20","http://localhost:8080/","2024-12-10","09:03:40","LCP","1178.7999999988824","1195","16.200000001117587","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2024-12-10","09:03:40","longTask","3465.4000000003725","3533.4000000003725","68","self","-1","-1","-1"
"21","http://localhost:8080/","2024-12-10","09:03:50","LCP","1226.5999999996275","1246.199999999255","19.59999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2024-12-10","09:03:50","longTask","3499.199999999255","3566.199999999255","67","self","-1","-1","-1"
"22","http://localhost:8080/","2024-12-10","09:04:01","LCP","1206.1000000014901","1230.800000000745","24.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/","2024-12-10","09:04:01","longTask","3478.4000000003725","3545.4000000003725","67","self","-1","-1","-1"
"23","http://localhost:8080/","2024-12-10","09:04:11","LCP","1277.8999999985099","1300.199999999255","22.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2024-12-10","09:04:11","longTask","3483.5999999996275","3549.5999999996275","66","self","-1","-1","-1"
"24","http://localhost:8080/","2024-12-10","09:04:21","LCP","1235.199999999255","1255.699999999255","20.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"24","http://localhost:8080/","2024-12-10","09:04:21","longTask","3456.699999999255","3527.699999999255","71","self","-1","-1","-1"
"25","http://localhost:8080/","2024-12-10","09:04:31","LCP","1170.0999999996275","1185.5999999996275","15.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"25","http://localhost:8080/","2024-12-10","09:04:31","longTask","3449","3516","67","self","-1","-1","-1"
"26","http://localhost:8080/","2024-12-10","09:04:42","LCP","1191.5","1212.199999999255","20.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"26","http://localhost:8080/","2024-12-10","09:04:42","longTask","3486","3552","66","self","-1","-1","-1"
"27","http://localhost:8080/","2024-12-10","09:04:52","LCP","1272","1292","20","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"27","http://localhost:8080/","2024-12-10","09:04:52","longTask","3484.0999999996275","3552.0999999996275","68","self","-1","-1","-1"
"28","http://localhost:8080/","2024-12-10","09:05:02","LCP","1198.2999999988824","1217.0999999996275","18.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"28","http://localhost:8080/","2024-12-10","09:05:02","longTask","3486.199999999255","3553.199999999255","67","self","-1","-1","-1"
"29","http://localhost:8080/","2024-12-10","09:05:12","LCP","1197.7999999988824","1217.2999999988824","19.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"29","http://localhost:8080/","2024-12-10","09:05:12","longTask","3483.89999999851","3551.89999999851","68","self","-1","-1","-1"
"30","http://localhost:8080/","2024-12-10","09:05:23","LCP","1341.7999999988824","1354.0999999996275","12.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"30","http://localhost:8080/","2024-12-10","09:05:23","longTask","3541.39999999851","3608.39999999851","67","self","-1","-1","-1"
"31","http://localhost:8080/","2024-12-10","09:05:33","LCP","1213","1225.199999999255","12.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"31","http://localhost:8080/","2024-12-10","09:05:33","longTask","3456.5999999996275","3523.5999999996275","67","self","-1","-1","-1"
"32","http://localhost:8080/","2024-12-10","09:05:43","LCP","1199.3999999985099","1219.5999999996275","20.200000001117587","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"32","http://localhost:8080/","2024-12-10","09:05:43","longTask","3526.2999999988824","3593.2999999988824","67","self","-1","-1","-1"
"33","http://localhost:8080/","2024-12-10","09:05:54","LCP","1213.2000000011176","1229.300000000745","16.09999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"33","http://localhost:8080/","2024-12-10","09:05:54","longTask","3489.7000000011176","3557.7000000011176","68","self","-1","-1","-1"
"34","http://localhost:8080/","2024-12-10","09:06:04","LCP","1199.2999999988824","1220","20.700000001117587","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"34","http://localhost:8080/","2024-12-10","09:06:04","longTask","3494.5999999996275","3560.5999999996275","66","self","-1","-1","-1"
"35","http://localhost:8080/","2024-12-10","09:06:14","LCP","1257.5","1276","18.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"35","http://localhost:8080/","2024-12-10","09:06:14","longTask","3549.5","3616.5","67","self","-1","-1","-1"
"36","http://localhost:8080/","2024-12-10","09:06:24","LCP","1213.5999999996275","1225.5999999996275","12","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"36","http://localhost:8080/","2024-12-10","09:06:24","longTask","3499.300000000745","3565.300000000745","66","self","-1","-1","-1"
"37","http://localhost:8080/","2024-12-10","09:06:35","LCP","1222.0999999996275","1239.9000000003725","17.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"37","http://localhost:8080/","2024-12-10","09:06:35","longTask","3530.5","3597.5","67","self","-1","-1","-1"
"38","http://localhost:8080/","2024-12-10","09:06:45","LCP","1729.2999999988824","1741.2999999988824","12","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2024-12-10","09:06:45","longTask","3753.5","3818.5","65","self","-1","-1","-1"
"39","http://localhost:8080/","2024-12-10","09:06:56","LCP","1284.2000000011176","1300.7000000011176","16.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"39","http://localhost:8080/","2024-12-10","09:06:56","longTask","3507.5999999996275","3575.5999999996275","68","self","-1","-1","-1"
"40","http://localhost:8080/","2024-12-10","09:07:06","LCP","1299.9000000003725","1314.5","14.599999999627471","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"40","http://localhost:8080/","2024-12-10","09:07:06","longTask","3535.5","3602.5","67","self","-1","-1","-1"
"41","http://localhost:8080/","2024-12-10","09:07:16","LCP","1370.5999999996275","1382.5","11.900000000372529","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"41","http://localhost:8080/","2024-12-10","09:07:16","longTask","3577","3643","66","self","-1","-1","-1"
"42","http://localhost:8080/","2024-12-10","09:07:27","LCP","1192.5","1208","15.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"42","http://localhost:8080/","2024-12-10","09:07:27","longTask","3529.300000000745","3595.300000000745","66","self","-1","-1","-1"
"43","http://localhost:8080/","2024-12-10","09:07:37","LCP","1292","1308","16","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"43","http://localhost:8080/","2024-12-10","09:07:37","longTask","3525.9000000003725","3591.9000000003725","66","self","-1","-1","-1"
"44","http://localhost:8080/","2024-12-10","09:07:47","LCP","1215","1235.199999999255","20.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"44","http://localhost:8080/","2024-12-10","09:07:47","longTask","3535.199999999255","3602.199999999255","67","self","-1","-1","-1"
"45","http://localhost:8080/","2024-12-10","09:07:58","LCP","1379.1000000014901","1392.2000000011176","13.099999999627471","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"45","http://localhost:8080/","2024-12-10","09:07:58","longTask","3592","3657","65","self","-1","-1","-1"
"46","http://localhost:8080/","2024-12-10","09:08:08","LCP","1227.5","1243.300000000745","15.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"46","http://localhost:8080/","2024-12-10","09:08:08","longTask","3506.9000000003725","3572.9000000003725","66","self","-1","-1","-1"
"47","http://localhost:8080/","2024-12-10","09:08:18","LCP","1185.5","1205.6000000014901","20.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"47","http://localhost:8080/","2024-12-10","09:08:18","longTask","3492.7000000011176","3558.7000000011176","66","self","-1","-1","-1"
"48","http://localhost:8080/","2024-12-10","09:08:28","LCP","1221.0999999996275","1237.0999999996275","16","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"48","http://localhost:8080/","2024-12-10","09:08:28","longTask","3512","3577","65","self","-1","-1","-1"
"49","http://localhost:8080/","2024-12-10","09:08:39","LCP","1207.7999999988824","1225","17.200000001117587","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"49","http://localhost:8080/","2024-12-10","09:08:39","longTask","3521.2999999988824","3586.2999999988824","65","self","-1","-1","-1"
"50","http://localhost:8080/","2024-12-10","09:08:49","LCP","1192.9000000003725","1211.5","18.59999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"50","http://localhost:8080/","2024-12-10","09:08:49","longTask","3488.199999999255","3557.199999999255","69","self","-1","-1","-1"
"51","http://localhost:8080/","2024-12-10","09:08:59","LCP","1194.0999999996275","1209.8999999985099","15.799999998882413","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"51","http://localhost:8080/","2024-12-10","09:08:59","longTask","3492.5","3558.5","66","self","-1","-1","-1"
"52","http://localhost:8080/","2024-12-10","09:09:10","LCP","1227","1245.800000000745","18.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"52","http://localhost:8080/","2024-12-10","09:09:10","longTask","3485.4000000003725","3551.4000000003725","66","self","-1","-1","-1"
"53","http://localhost:8080/","2024-12-10","09:09:20","LCP","1320.5","1341","20.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"53","http://localhost:8080/","2024-12-10","09:09:20","longTask","3527.5999999996275","3595.5999999996275","68","self","-1","-1","-1"
