timestamp,cdn_cpu_percent,monolith_cpu_percent,cdn_mem_percent,monolith_mem_percent,cdn_mem_usage,monolith_mem_usage,mean,min,max,count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,123.32,0.26,19.59,20.39,1536.0,1.706453237410072,1.074,9.006,417,83.4,83.0,84.0,417.0,0.0,0.0
5,0.01,114.3,0.26,33.09,20.39,2593.0,1.3787764423076925,0.969,6.847,416,83.4,83.0,84.0,417.0,0.0,0.0
10,0.0,120.15,0.26,34.6,20.39,2711.0,1.1320047961630695,0.86,2.427,417,83.2,83.0,84.0,416.0,0.0,0.0
15,0.0,112.6,0.26,34.73,20.39,2721.0,1.055021582733813,0.75,6.949,417,83.4,83.0,84.0,417.0,0.0,0.0
20,0.0,106.53,0.26,34.98,20.39,2741.0,1.022829326923077,0.735,8.091,416,83.4,83.0,84.0,417.0,0.0,0.0
25,0.0,111.44,0.26,35.03,20.39,2745.0,0.9582350119904077,0.717,9.582,417,83.2,83.0,84.0,416.0,0.0,0.0
30,0.0,106.19,0.26,35.17,20.39,2756.0,0.984,0.698,12.629,417,83.4,83.0,84.0,417.0,0.0,0.0
35,0.0,106.05,0.26,35.26,20.39,2763.0,0.9249134615384615,0.652,10.272,416,83.4,83.0,84.0,417.0,0.0,0.0
40,0.0,106.34,0.26,35.46,20.39,2779.0,0.9569592326139089,0.705,10.903,417,83.2,83.0,84.0,416.0,0.0,0.0
45,0.0,105.2,0.26,35.52,20.39,2783.0,0.9070647482014388,0.701,2.878,417,83.4,83.0,84.0,417.0,0.0,0.0
50,0.0,110.24,0.26,35.64,20.39,2793.0,0.9196610576923077,0.739,2.523,416,83.4,83.0,84.0,417.0,0.0,0.0
55,0.0,118.26,0.26,35.72,20.39,2799.0,0.9139520383693045,0.699,3.913,417,83.2,83.0,84.0,416.0,0.0,0.0
60,0.0,121.28,0.26,35.82,20.39,2807.0,0.9258992805755396,0.714,5.314,417,83.4,83.0,84.0,417.0,0.0,0.0
65,0.0,109.14,0.26,35.96,20.39,2818.0,0.9193653846153846,0.712,8.35,416,83.4,82.0,84.0,417.0,0.0,0.0
70,0.0,127.29,0.26,36.12,20.39,2830.0,0.9044484412470023,0.685,5.975,417,83.2,83.0,84.0,416.0,0.0,0.0
