timestamp,cdn_cpu_percent,discovery_cpu_percent,monolith_cpu_percent,recommendations_cpu_percent,teasers_cpu_percent,cdn_mem_percent,discovery_mem_percent,monolith_mem_percent,recommendations_mem_percent,teasers_mem_percent,cdn_mem_usage,discovery_mem_usage,monolith_mem_usage,recommendations_mem_usage,teasers_mem_usage,duration_mean,duration_min,duration_max,duration_count,throughput_mean,throughput_min,throughput_max,throughput_count,err_mean,err_count
0,0.0,5.4,180.74,57.92,47.82,0.23,0.39,25.96,2.55,2.26,17.89,30.6,2034.0,200.2,177.5,34.80397894736842,6.595,676.294,855,166.8,166.0,169.0,834.0,0.0,0.0
5,0.0,5.49,226.22,45.98,48.23,0.23,0.47,33.03,2.71,2.79,17.89,37.0,2588.0,212.1,218.9,8.43883932853717,6.156,37.847,834,166.8,166.0,167.0,834.0,0.0,0.0
10,0.03,5.53,204.58,51.01,51.2,0.23,0.48,36.58,3.11,3.62,17.9,37.8,2867.0,243.9,284.1,7.4768859543817525,4.949,27.859,833,166.6,166.0,167.0,833.0,0.0,0.0
15,0.0,4.3,151.52,43.27,41.12,0.23,0.64,36.99,3.45,3.65,17.9,49.84,2898.0,270.5,286.1,7.563308153477219,5.202,48.043,834,166.6,166.0,167.0,833.0,0.0,0.0
20,0.0,4.44,151.56,40.48,38.65,0.23,0.68,37.35,3.63,4.31,17.9,53.33,2927.0,284.7,337.6,7.600332533013206,5.86,51.364,833,166.8,166.0,167.0,834.0,0.0,0.0
25,0.0,3.9,157.63,40.44,38.96,0.23,0.71,37.76,3.79,4.31,17.9,55.56,2959.0,296.9,338.2,7.0072689075630255,5.588,32.01,833,166.6,166.0,167.0,833.0,0.0,0.0
30,0.0,4.02,134.55,36.85,34.69,0.23,0.72,38.1,3.89,4.7,17.9,56.39,2985.0,304.7,368.5,7.174197841726619,5.702,50.858,834,166.6,166.0,167.0,833.0,0.0,0.0
35,0.0,3.44,132.03,37.53,35.19,0.23,0.72,38.33,3.9,4.72,17.9,56.39,3004.0,305.8,369.8,6.95106362545018,5.447,35.732,833,166.8,166.0,167.0,834.0,0.0,0.0
40,0.01,4.0,143.01,37.91,34.38,0.23,0.72,38.65,3.98,5.04,17.9,56.58,3028.0,311.9,395.3,6.890521008403361,5.59,32.979,833,166.6,166.0,167.0,833.0,0.0,0.0
45,0.0,3.64,131.53,37.11,33.65,0.23,0.72,38.89,4.02,5.06,17.9,56.75,3048.0,315.3,396.5,7.053607913669064,5.151,24.072,834,166.6,166.0,168.0,833.0,0.0,0.0
