timestamp,name,cpu_percent,mem_usage,mem_limit,mem_percent
1735068411,discovery,0.18,19.76MiB,7.654GiB,0.25
1735068416,monolith,112.17,2.661GiB,4GiB,66.51
1735068416,teasers,5.06,83.97MiB,7.654GiB,1.07
1735068416,recommendations,4.44,84.06MiB,7.654GiB,1.07
1735068416,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068416,discovery,0.45,20.31MiB,7.654GiB,0.26
1735068421,monolith,109.22,2.667GiB,4GiB,66.67
1735068421,teasers,3.35,84.79MiB,7.654GiB,1.08
1735068421,recommendations,4.43,86.09MiB,7.654GiB,1.10
1735068421,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068421,discovery,1.60,20.16MiB,7.654GiB,0.26
1735068426,monolith,108.44,2.674GiB,4GiB,66.85
1735068426,teasers,3.70,84.89MiB,7.654GiB,1.08
1735068426,recommendations,4.46,87.13MiB,7.654GiB,1.11
1735068426,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068426,discovery,0.43,20.64MiB,7.654GiB,0.26
1735068431,monolith,106.74,2.682GiB,4GiB,67.05
1735068431,teasers,6.56,87.16MiB,7.654GiB,1.11
1735068431,recommendations,4.34,87.24MiB,7.654GiB,1.11
1735068431,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068431,discovery,0.44,20.72MiB,7.654GiB,0.26
1735068436,monolith,116.56,2.687GiB,4GiB,67.19
1735068436,teasers,5.01,86.65MiB,7.654GiB,1.11
1735068436,recommendations,5.48,87.87MiB,7.654GiB,1.12
1735068436,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068436,discovery,0.51,21.3MiB,7.654GiB,0.27
1735068441,monolith,107.31,2.695GiB,4GiB,67.38
1735068441,teasers,5.35,58.38MiB,7.654GiB,0.74
1735068441,recommendations,4.71,87.65MiB,7.654GiB,1.12
1735068441,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068441,discovery,0.43,21.05MiB,7.654GiB,0.27
1735068446,monolith,123.30,2.707GiB,4GiB,67.67
1735068446,teasers,9.70,69.5MiB,7.654GiB,0.89
1735068446,recommendations,6.33,88.07MiB,7.654GiB,1.12
1735068446,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068446,discovery,0.70,21.85MiB,7.654GiB,0.28
1735068451,monolith,116.05,2.719GiB,4GiB,67.97
1735068451,teasers,12.43,85.05MiB,7.654GiB,1.09
1735068451,recommendations,7.16,88.19MiB,7.654GiB,1.13
1735068451,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068451,discovery,0.66,22.32MiB,7.654GiB,0.28
1735068456,monolith,112.93,2.726GiB,4GiB,68.16
1735068456,teasers,11.43,87.26MiB,7.654GiB,1.11
1735068456,recommendations,9.00,88.38MiB,7.654GiB,1.13
1735068456,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068456,discovery,0.64,22.95MiB,7.654GiB,0.29
1735068461,monolith,109.81,2.743GiB,4GiB,68.56
1735068461,teasers,12.69,88.3MiB,7.654GiB,1.13
1735068461,recommendations,6.66,88.64MiB,7.654GiB,1.13
1735068461,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068461,discovery,0.72,23.18MiB,7.654GiB,0.30
1735068466,monolith,124.22,2.757GiB,4GiB,68.94
1735068466,teasers,6.72,88.55MiB,7.654GiB,1.13
1735068466,recommendations,7.37,89.16MiB,7.654GiB,1.14
1735068466,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068466,discovery,0.98,23.59MiB,7.654GiB,0.30
1735068471,monolith,118.21,2.763GiB,4GiB,69.08
1735068471,teasers,7.69,89.32MiB,7.654GiB,1.14
1735068471,recommendations,5.81,89.28MiB,7.654GiB,1.14
1735068471,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068471,discovery,0.86,23.82MiB,7.654GiB,0.30
1735068476,monolith,109.74,2.772GiB,4GiB,69.29
1735068476,teasers,8.75,88.46MiB,7.654GiB,1.13
1735068476,recommendations,6.51,89.63MiB,7.654GiB,1.14
1735068476,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068476,discovery,0.82,24.89MiB,7.654GiB,0.32
1735068481,monolith,112.94,2.786GiB,4GiB,69.64
1735068481,teasers,7.65,88.43MiB,7.654GiB,1.13
1735068481,recommendations,5.94,89.4MiB,7.654GiB,1.14
1735068481,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068481,discovery,0.95,25.2MiB,7.654GiB,0.32
1735068486,monolith,106.62,2.795GiB,4GiB,69.88
1735068486,teasers,5.93,88.77MiB,7.654GiB,1.13
1735068486,recommendations,8.34,89.96MiB,7.654GiB,1.15
1735068486,cdn,0.00,17.85MiB,7.654GiB,0.23
1735068486,discovery,1.13,25.58MiB,7.654GiB,0.33
1735068491,monolith,114.78,2.812GiB,4GiB,70.30
