timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734783167233,1,Homepage visit,200,OK,BasicTest 1-3,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01wie01gf00jru16klxwfagkosf20243.node0?0,1,0,0
1734783167233,1,Homepage visit-0,302,Found,BasicTest 1-3,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167234,0,Homepage visit-1,200,OK,BasicTest 1-3,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01wie01gf00jru16klxwfagkosf20243.node0?0,0,0,0
1734783167234,2,Homepage visit,200,OK,BasicTest 1-3,text,true,,7872,286,1,1,http://localhost:8080/;jsessionid=node0s28pwjadk36y7k4jv9b8gr3n20244.node0?0,1,0,0
1734783167234,1,Homepage visit-0,302,Found,BasicTest 1-3,,true,,596,116,1,1,http://localhost:8080/,1,0,0
1734783167235,1,Homepage visit-1,200,OK,BasicTest 1-3,text,true,,7276,170,1,1,http://localhost:8080/;jsessionid=node0s28pwjadk36y7k4jv9b8gr3n20244.node0?0,1,0,0
1734783167236,2,Homepage visit,200,OK,BasicTest 1-3,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node01igjmlslfohkhue0qfotfy08b20245.node0?0,1,0,0
1734783167236,1,Homepage visit-0,302,Found,BasicTest 1-3,,true,,598,116,1,1,http://localhost:8080/,1,0,0
1734783167237,1,Homepage visit-1,200,OK,BasicTest 1-3,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node01igjmlslfohkhue0qfotfy08b20245.node0?0,1,0,0
1734783167284,2,Homepage visit,200,OK,BasicTest 1-4,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01mlbt736zcn7y12umk7h7im65b20246.node0?0,1,0,0
1734783167284,1,Homepage visit-0,302,Found,BasicTest 1-4,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167285,1,Homepage visit-1,200,OK,BasicTest 1-4,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01mlbt736zcn7y12umk7h7im65b20246.node0?0,1,0,0
1734783167286,2,Homepage visit,200,OK,BasicTest 1-4,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node015f0jxw6uf5691gzfi172qk6uw20247.node0?0,1,0,0
1734783167286,1,Homepage visit-0,302,Found,BasicTest 1-4,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167287,1,Homepage visit-1,200,OK,BasicTest 1-4,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node015f0jxw6uf5691gzfi172qk6uw20247.node0?0,1,0,0
1734783167288,1,Homepage visit,200,OK,BasicTest 1-4,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01lognd18kv59x1wkjw3gipotng20248.node0?0,0,0,0
1734783167288,0,Homepage visit-0,302,Found,BasicTest 1-4,,true,,600,116,1,1,http://localhost:8080/,0,0,0
1734783167289,0,Homepage visit-1,200,OK,BasicTest 1-4,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01lognd18kv59x1wkjw3gipotng20248.node0?0,0,0,0
1734783167289,2,Homepage visit,200,OK,BasicTest 1-4,text,true,,7872,286,1,1,http://localhost:8080/;jsessionid=node0clyr69oixc63om6kluwhvxey20249.node0?0,1,0,0
1734783167289,1,Homepage visit-0,302,Found,BasicTest 1-4,,true,,596,116,1,1,http://localhost:8080/,1,0,0
1734783167290,1,Homepage visit-1,200,OK,BasicTest 1-4,text,true,,7276,170,1,1,http://localhost:8080/;jsessionid=node0clyr69oixc63om6kluwhvxey20249.node0?0,1,0,0
1734783167291,2,Homepage visit,200,OK,BasicTest 1-4,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node013a05cc436ywh1alfpmrb2ns0a20250.node0?0,1,0,0
1734783167291,1,Homepage visit-0,302,Found,BasicTest 1-4,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167292,1,Homepage visit-1,200,OK,BasicTest 1-4,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node013a05cc436ywh1alfpmrb2ns0a20250.node0?0,1,0,0
1734783167338,3,Homepage visit,200,OK,BasicTest 1-5,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node036u14nb4e3s610546vfc74tbj20251.node0?0,2,0,1
1734783167338,2,Homepage visit-0,302,Found,BasicTest 1-5,,true,,598,116,1,1,http://localhost:8080/,2,0,1
1734783167340,1,Homepage visit-1,200,OK,BasicTest 1-5,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node036u14nb4e3s610546vfc74tbj20251.node0?0,1,0,0
1734783167341,1,Homepage visit,200,OK,BasicTest 1-5,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node0tbgswgdfulwr1xsurwopo5c8120252.node0?0,1,0,0
1734783167341,1,Homepage visit-0,302,Found,BasicTest 1-5,,true,,598,116,1,1,http://localhost:8080/,1,0,0
1734783167342,0,Homepage visit-1,200,OK,BasicTest 1-5,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node0tbgswgdfulwr1xsurwopo5c8120252.node0?0,0,0,0
1734783167343,1,Homepage visit,200,OK,BasicTest 1-5,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node01wci0cmbnmwxdyyc98m8gngiy20253.node0?0,0,0,0
1734783167343,0,Homepage visit-0,302,Found,BasicTest 1-5,,true,,598,116,1,1,http://localhost:8080/,0,0,0
1734783167343,1,Homepage visit-1,200,OK,BasicTest 1-5,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node01wci0cmbnmwxdyyc98m8gngiy20253.node0?0,1,0,0
1734783167344,2,Homepage visit,200,OK,BasicTest 1-5,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01bc3ga6u4hme21vxbedu8eddau20254.node0?0,1,0,0
1734783167344,1,Homepage visit-0,302,Found,BasicTest 1-5,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167345,1,Homepage visit-1,200,OK,BasicTest 1-5,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01bc3ga6u4hme21vxbedu8eddau20254.node0?0,1,0,0
1734783167346,1,Homepage visit,200,OK,BasicTest 1-5,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node0yxxo75zmywjr14tn3h8phpior20255.node0?0,0,0,0
1734783167346,0,Homepage visit-0,302,Found,BasicTest 1-5,,true,,598,116,1,1,http://localhost:8080/,0,0,0
1734783167346,1,Homepage visit-1,200,OK,BasicTest 1-5,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node0yxxo75zmywjr14tn3h8phpior20255.node0?0,1,0,0
1734783167393,2,Homepage visit,200,OK,BasicTest 1-6,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node0fxuncysoha101l3igg1t9wdhm20256.node0?0,2,0,1
1734783167393,2,Homepage visit-0,302,Found,BasicTest 1-6,,true,,598,116,1,1,http://localhost:8080/,2,0,1
1734783167395,0,Homepage visit-1,200,OK,BasicTest 1-6,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node0fxuncysoha101l3igg1t9wdhm20256.node0?0,0,0,0
1734783167396,1,Homepage visit,200,OK,BasicTest 1-6,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01aqpxsnvikc591kmjf4vtjg3o720257.node0?0,1,0,0
1734783167396,1,Homepage visit-0,302,Found,BasicTest 1-6,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167397,0,Homepage visit-1,200,OK,BasicTest 1-6,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01aqpxsnvikc591kmjf4vtjg3o720257.node0?0,0,0,0
1734783167398,1,Homepage visit,200,OK,BasicTest 1-6,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node092pc53keqp5a1risl4ics8gh120258.node0?0,0,0,0
1734783167398,0,Homepage visit-0,302,Found,BasicTest 1-6,,true,,598,116,1,1,http://localhost:8080/,0,0,0
1734783167398,1,Homepage visit-1,200,OK,BasicTest 1-6,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node092pc53keqp5a1risl4ics8gh120258.node0?0,1,0,0
1734783167399,2,Homepage visit,200,OK,BasicTest 1-6,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node08j26nhdv7g3d15ihm3lrgjmhj20259.node0?0,1,0,0
1734783167399,1,Homepage visit-0,302,Found,BasicTest 1-6,,true,,598,116,1,1,http://localhost:8080/,1,0,0
1734783167400,1,Homepage visit-1,200,OK,BasicTest 1-6,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node08j26nhdv7g3d15ihm3lrgjmhj20259.node0?0,1,0,0
1734783167401,1,Homepage visit,200,OK,BasicTest 1-6,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node017w52zh1vvycp1aymazxm8pfwk20260.node0?0,1,0,0
1734783167401,1,Homepage visit-0,302,Found,BasicTest 1-6,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167402,0,Homepage visit-1,200,OK,BasicTest 1-6,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node017w52zh1vvycp1aymazxm8pfwk20260.node0?0,0,0,0
1734783167451,5,Homepage visit,200,OK,BasicTest 1-7,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node0nzyclm551jba1mxwyd45now6h20261.node0?0,3,0,1
1734783167451,3,Homepage visit-0,302,Found,BasicTest 1-7,,true,,598,116,1,1,http://localhost:8080/,3,0,1
1734783167455,1,Homepage visit-1,200,OK,BasicTest 1-7,text,true,,7291,171,1,1,http://localhost:8080/;jsessionid=node0nzyclm551jba1mxwyd45now6h20261.node0?0,0,0,0
1734783167456,2,Homepage visit,200,OK,BasicTest 1-7,text,true,,7906,288,1,1,http://localhost:8080/;jsessionid=node01vvp3dfn7eb3r1diichibvvkul20262.node0?0,1,0,0
1734783167456,1,Homepage visit-0,302,Found,BasicTest 1-7,,true,,600,116,1,1,http://localhost:8080/,1,0,0
1734783167457,1,Homepage visit-1,200,OK,BasicTest 1-7,text,true,,7306,172,1,1,http://localhost:8080/;jsessionid=node01vvp3dfn7eb3r1diichibvvkul20262.node0?0,1,0,0
1734783167458,2,Homepage visit,200,OK,BasicTest 1-7,text,true,,7872,286,1,1,http://localhost:8080/;jsessionid=node0kprzti562r1gbbc6bg4ak96i20263.node0?0,1,0,0
1734783167458,1,Homepage visit-0,302,Found,BasicTest 1-7,,true,,596,116,1,1,http://localhost:8080/,1,0,0
1734783167459,1,Homepage visit-1,200,OK,BasicTest 1-7,text,true,,7276,170,1,1,http://localhost:8080/;jsessionid=node0kprzti562r1gbbc6bg4ak96i20263.node0?0,1,0,0
1734783167460,1,Homepage visit,200,OK,BasicTest 1-7,text,true,,7889,287,1,1,http://localhost:8080/;jsessionid=node06z5kxeld8enr1259itmcri8er20264.node0?0,1,0,0
