idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"40","http://localhost:8080/","2024-12-10","16:27:00","6229","11240","1310.8000000044703","1152.4000000059605","369.20000000298023","42","5383.9000000059605","1","92",""
"41","http://localhost:8080/","2024-12-10","16:27:11","6224","11236","1298.3999999985099","1140","368.5","44","5374.29999999702","1","94",""
"42","http://localhost:8080/","2024-12-10","16:27:23","6248","11260","1342.2999999970198","1142.2999999970198","370","18","5377.60000000149","1","68",""
"43","http://localhost:8080/","2024-12-10","16:27:35","6221","11232","1313.6000000014901","1155.3000000044703","369.1000000014901","44","5379.30000000447","1","94",""
"44","http://localhost:8080/","2024-12-10","16:27:47","6264","11277","1380.7000000029802","1139.1000000014901","368.30000000447035","42","5421.80000000447","1","92",""
"45","http://localhost:8080/","2024-12-10","16:27:59","6273","11286","1375.7999999970198","1117.3999999985099","363.3999999985099","43","5428.19999999553","1","93",""
"46","http://localhost:8080/","2024-12-10","16:28:11","6230","11242","1321.4000000059605","1146.4000000059605","368.5","44","5386.80000000447","1","94",""
"47","http://localhost:8080/","2024-12-10","16:28:23","6236","11247","1341.7999999970198","1150.2000000029802","371.1000000014901","43","5390","1","93",""
"48","http://localhost:8080/","2024-12-10","16:28:34","6249","11262","1358.5","1133.5","371","43","5404.5","1","93",""
"49","http://localhost:8080/","2024-12-10","16:28:46","6209","11221","1234.6000000014901","1134.7000000029802","363.79999999701977","43","5360.89999999851","1","93",""
"50","http://localhost:8080/","2024-12-10","16:28:58","6229","11241","1348.8999999985099","1140.7000000029802","369.8999999985099","43","5384.20000000298","1","93",""
"51","http://localhost:8080/","2024-12-10","16:29:10","6233","11244","1349.4000000059605","1141","368.30000000447035","42","5385","1","92",""
"52","http://localhost:8080/","2024-12-10","16:29:22","6201","11213","1251.2999999970198","1134.6000000014901","363.79999999701977","44","5356.20000000298","1","94",""
"53","http://localhost:8080/","2024-12-10","16:29:34","6255","11268","1366.3999999985099","1149.6999999955297","370.59999999403954","18","5376.79999999702","1","68",""
"54","http://localhost:8080/","2024-12-10","16:29:45","6228","11240","1318.6999999955297","1143.6999999955297","370.19999999552965","42","5386.5","1","92",""
"55","http://localhost:8080/","2024-12-10","16:29:57","6245","11258","1226.7999999970198","1135.1000000014901","368.5","17","5366.29999999702","1","67",""
"56","http://localhost:8080/","2024-12-10","16:30:09","6236","11248","1272.2999999970198","1155.6000000014901","368.6000000014901","43","5393.10000000149","1","93",""
"57","http://localhost:8080/","2024-12-10","16:30:21","6229","11240","1242.2000000029802","1142.2000000029802","370.5","43","5386","1","93",""
